Sample,Sample type,Virus status,Timepoint,Treatment,IL_2ra,MIG,MIP_1b,IL_6,IFN_a2,IFN_g,SDF_1a,IL_1ra,MCP_3,IL_16,IL_12_p40,LIF,TNF_b,IL_5,GM_CSF,MIF,TNF_a,RANTES,IL_2,IL_1b,IL_18,Eotaxin,Basic FGF,VEGF,b_NGF,PDGF_BB,IP_10,IL_13,IL_4,MCP_1,IL_8,MIP_1a,IL_10,G_CSF,GRO_a,HGF,IL_1a,IL_3,SCF,TRAIL,M_CSF,CTACK,IL_15,IL_7,IL_12_p70,IL_17,IL_9,SCFG_b
Unknown2,Primary Macrophages,Not infected,0,oxLDL,2.52274338,16.01101121,206.4490541,0.829142289,5.183957306,52.13553185,38.32022462,457.2849636,18.83179113,16.69606722,13.83970095,9.808682559,6.945629677,24.82865843,0.491476054,184.1031417,32.73254008,5.453939152,1.658630421,0.378897627,3.044788441,2.130598623,5.907369892,350.7778311,9.078377326,14.20473186,3407.828509,0.106331088,2.020918079,1348.316435,646.1410316,10.0971802,3.088738637,311.4868658,391.7985721,243.4260867,4.541209061,0.359573204,2.307276855,6.318176648,11.12317158,4.389116972,51.25694963,10.02741508,1.196448295,2.268907709,7.613755203,857.0793611
Unknown3,Primary Macrophages,Not infected,0,oxLDL,6.216965727,30.4146644,600.8952748,2.957118438,9.154764869,134.0753386,42.70518768,1245.044103,17.18635932,8.747178765,31.26394307,31.98266372,10.79713949,37.14933313,1.251719478,87.30893792,30.13451743,6.256628372,3.555048575,1.344762274,9.509101006,3.719339002,14.31732642,727.8279375,12.34659759,27.72039293,865.3472951,0.106331088,6.474694837,8800,767.7389799,58.01381053,19.68574551,1279.40192,577.847203,97.8705003,14.82306879,0.540141434,6.637001128,8.796148935,189.6893729,9.092867018,81.57390053,11.6844151,1.679843268,4.922628928,8.956224458,1558.39599
Unknown4,Primary Macrophages,Not infected,0,oxLDL,3.417414711,30.4146644,63.90318998,271.0417149,4.915995238,82.82067437,31.18687735,248.968932,154.3664225,29.60315289,16.8294352,8.381074617,16.13497547,26.59319614,0.73639871,407.9803586,27.95936442,6.653372638,2.777903883,8.73517084,3.044788441,1.891235334,6.749243691,265.4293059,7.48322047,15.1126183,1615.350608,0.210225185,2.61896575,8800,5289.273121,6.161150055,3.252959051,242.3558605,3484.731361,178.7859978,6.886338589,0.27862609,2.75246323,13.81360299,14.90991109,19.14028542,39.26851246,12.23118839,1.610913929,2.886635258,12.9226269,1619.985761
Unknown5,Primary Macrophages,Not infected,0,oxLDL,3.269777507,16.01101121,52.45083305,51.23243076,4.915995238,81.95477761,27.55507422,236.4126836,52.77725843,13.73074625,13.83970095,9.808682559,9.03164156,29.23690061,0.454903434,169.9094485,7.26612957,5.251144668,1.983296459,1.280302483,2.583121718,1.891235334,5.465674627,327.3098461,9.683752966,20.27623134,1377.761461,0.106331088,2.020918079,8800,2485.597449,3.111237299,2.924951313,153.927962,1279.413129,264.1076603,3.965546274,0.40685668,2.082996648,8.258736741,16.03228743,7.53185167,54.97207251,11.6844151,1.057870978,1.436661276,9.844857013,1427.678058
Unknown2,Primary Macrophages,Not infected,0,oxLDL,2.295254185,16.01101121,203.9906851,0.766529609,3.807674708,46.16424846,39.20133672,427.2149073,17.37133996,14.55591168,22.68952507,8.381074617,7.274175448,23.94571437,0.380139106,191.1524962,33.16433507,5.453939152,2.777903883,0.250230812,2.126745346,1.891235334,7.546079627,429.5802768,8.676891473,11.5453459,2820.660542,0.158560962,2.107914679,1399.616666,585.9908359,10.29972315,3.088738637,370.0779376,389.2578964,229.3549667,3.965546274,0.336199636,1.630325907,4.99827814,10.57257189,5.177981133,57.6856634,8.341334858,1.26564765,1.436661276,6.484800563,989.3308518
Unknown3,Primary Macrophages,Not infected,0,oxLDL,6.77754558,32.14424755,621.097466,2.81908292,10.31053294,133.1571262,38.32022462,1266.670059,18.83179113,9.248673509,34.07797473,37.77842077,10.68657671,36.27138215,1.313258471,92.46912838,31.00194297,8.599420585,3.400738062,1.280302483,9.675843456,3.163807422,15.88227258,765.7886922,14.01364772,25.6942276,1044.720868,0.158560962,6.25621158,8800,713.9017067,67.60658544,21.32389456,1506.822666,558.6395957,112.123682,17.33396639,0.527845289,6.848545619,7.987611204,209.2554002,9.482276646,82.33914366,14.92957613,1.955228468,5.528835604,10.28747455,1860.845062
Unknown4,Primary Macrophages,Not infected,0,oxLDL,3.195757104,30.4146644,61.92147584,274.2200278,6.98371162,80.80195243,34.77331259,241.6931971,184.549517,33.6699892,19.77693196,14.00446922,13.01413316,24.82865843,0.803619369,362.4513863,26.8680595,6.256628372,2.777903883,8.96536088,1.975953325,1.772194045,7.546079627,214.1907251,8.877419551,15.1126183,2059.369724,0.210225185,2.868476859,8800,4864.288511,6.622025873,2.7616175,267.0601351,3661.200579,210.3046289,6.58995386,0.336199636,3.083813267,13.31198034,14.49019549,21.44183418,39.26851246,8.341334858,1.610913929,1.958193408,11.60918691,1439.225928
Unknown5,Primary Macrophages,Not infected,0,oxLDL,3.047293207,19.72892612,61.57905621,60.47425614,6.48140465,86.00486036,33.88061244,246.3572425,75.28424963,16.2028024,15.34042308,6.93426132,9.803111127,24.82865843,0.66809522,197.372025,7.26612957,5.453939152,1.658630421,1.538207877,2.967508928,1.476669245,6.334624307,327.3098461,9.886355046,15.1126183,2209.130177,0.106331088,2.020918079,8800,1917.764285,3.795670045,3.582626822,174.1588053,1528.163067,364.9517778,5.706050926,0.371328662,1.970376151,8.796148935,19.85147264,6.357029972,58.57746719,8.341334858,1.886428054,1.436661276,9.844857013,1803.892067
Unknown2,Primary Macrophages,Infected ,0,oxLDL,2.52274338,16.01101121,206.4490541,0.829142289,5.183957306,52.13553185,38.32022462,457.2849636,18.83179113,16.69606722,13.83970095,9.808682559,6.945629677,24.82865843,0.491476054,184.1031417,32.73254008,5.453939152,1.658630421,0.378897627,3.044788441,2.130598623,5.907369892,350.7778311,9.078377326,14.20473186,3407.828509,0.106331088,2.020918079,1348.316435,646.1410316,10.0971802,3.088738637,311.4868658,391.7985721,243.4260867,4.541209061,0.359573204,2.307276855,6.318176648,11.12317158,4.389116972,51.25694963,10.02741508,1.196448295,2.268907709,7.613755203,857.0793611
Unknown3,Primary Macrophages,Infected ,0,oxLDL,6.216965727,30.4146644,600.8952748,2.957118438,9.154764869,134.0753386,42.70518768,1245.044103,17.18635932,8.747178765,31.26394307,31.98266372,10.79713949,37.14933313,1.251719478,87.30893792,30.13451743,6.256628372,3.555048575,1.344762274,9.509101006,3.719339002,14.31732642,727.8279375,12.34659759,27.72039293,865.3472951,0.106331088,6.474694837,8800,767.7389799,58.01381053,19.68574551,1279.40192,577.847203,97.8705003,14.82306879,0.540141434,6.637001128,8.796148935,189.6893729,9.092867018,81.57390053,11.6844151,1.679843268,4.922628928,8.956224458,1558.39599
