Sample,Sample type,Experiment,Virus status,Timepoint,Treatment,IL-2ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12 (p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCFG-b
Unknown2,Whole sample,2,Not infected,0,Not treated,0.374614883,71.93385574,4.505271461,0.519878238,1.63873291,0.872870253,53.86368326,8.336494055,1.841492122,9.163121912,4.394444127,1.262845224,8.79410796,7.496948242,0.41998291,823.3030415,3.807495117,20.13327119,0.787434316,0.304443359,1.045593262,1.105416649,7.640463346,5.999450684,0.404095952,4.629946625,236.2384458,0.233154297,0.363555297,26.67765953,1.916714964,0.554892474,0.272849687,21.98571884,23.96282959,253.986366,3.640075684,0.081222212,0.283629857,0.647644043,0.199498669,22.2345291,13.14786535,7.244376214,0.293742112,2.846984863,7.37459077,1392.685813
Unknown3,Whole sample,2,Not infected,0,Not treated,0.471729274,106.1520823,3.737997041,0.368253763,0.538805551,0.321826514,50.01353322,6.769683957,1.417961908,5.421781177,4.394444127,0.329932209,8.861077419,7.496948242,0.41998291,1540.460897,0.233475848,23.69250325,0.899102496,0.304443359,1.045593262,1.042489721,7.284591053,5.999450684,1.820949996,2.903795767,188.3250089,0.233154297,0.469117315,7.20290272,1.486376604,0.265423395,0.116748104,9.692893131,64.50595045,188.5251725,0.101225555,0.042997836,0.131445994,0.647644043,0.158936181,17.27507,22.87595414,3.208715309,1.870849609,2.846984863,7.650586221,594.0190339
Unknown4,Whole sample,2,Not infected,0,Not treated,2.328505276,275.065787,12.61562792,3.119349861,3.027006232,10.6575196,132.8250045,490.2253385,4.892147273,78.33083554,26.3296476,5.321643318,24.42207719,7.496948242,0.558900021,2889.098359,3.535966144,57.68905263,1.453635393,0.077907105,0.151812114,1.839768278,18.11827068,5.999450684,6.630674852,30.57215674,735.5086062,0.066991359,0.867030145,82.92403456,29.98561855,2.59267899,0.37922205,91.76825294,129.7052606,725.1249032,2.333848528,0.062015108,2.135711526,2.338542705,1.809774125,54.024884,15.05068256,7.244376214,0.000159573,1.134320363,19.11611669,7947.633714
Unknown2,Whole sample,2,Not infected,0,Not treated,0.471729274,54.86509207,3.666609838,0.459223688,1.63873291,0.987378834,41.12417148,2.807917536,1.631802929,6.768519446,4.394444127,4.429579883,6.837339674,7.496948242,0.41998291,638.7430342,0.233475848,20.06486257,0.675420907,0.304443359,1.045593262,1.042489721,7.103639467,5.999450684,2.228847551,3.383047109,144.8589749,0.233154297,0.253823648,20.10607197,1.629566207,0.456574093,1.092346191,19.6506992,81.87758903,188.5251725,0.248689916,0.042997836,0.207773118,0.647644043,0.199498669,19.03416808,30.37991423,6.113571176,1.870849609,2.846984863,6.542383337,1166.505444
Unknown3,Whole sample,2,Not infected,0,Not treated,0.374614883,123.0271692,3.304905706,0.368253763,1.63873291,0.428363318,48.55502674,6.769683957,1.417961908,5.605238119,7.402226295,1.721702487,7.583258726,7.496948242,0.41998291,1665.111282,3.807495117,22.18620352,0.450068798,0.304443359,1.045593262,0.76174035,8.160492997,5.999450684,1.269711248,3.87393887,200.653372,0.233154297,0.363555297,7.692743746,1.414886862,0.265423395,0.37922205,9.970077591,87.05249594,224.8082083,0.901169903,0.042997836,0.584332276,0.647644043,0.040710793,17.27507,25.53655766,1.686740726,0.000159573,2.846984863,7.097913984,1051.59865
Unknown4,Whole sample,2,Not infected,0,Not treated,2.132416752,258.715498,12.09000153,2.965103384,3.027006232,11.07489693,109.4806491,491.3240959,4.531299633,73.56433998,31.41382844,5.321643318,21.15369127,7.496948242,0.510944857,2622.568589,1.331193995,49.7452059,1.894042271,0.011198704,0.369242015,1.67867136,16.04296181,5.999450684,7.694190914,34.82379961,588.1642936,0.016634667,0.867030145,83.61538295,29.90726874,2.432746942,0.37922205,83.69103063,116.1866198,716.1692042,1.965331198,0.005999938,2.355469019,2.788976351,1.630265468,44.32875655,19.49023438,10.5676821,0.149806625,1.796083195,16.23714172,7992.416603
Unknown2,Whole sample,2,Not infected,0,Not treated,0.374614883,71.93385574,4.505271461,0.519878238,1.63873291,0.872870253,53.86368326,8.336494055,1.841492122,9.163121912,4.394444127,1.262845224,8.79410796,7.496948242,0.41998291,823.3030415,3.807495117,20.13327119,0.787434316,0.304443359,1.045593262,1.105416649,7.640463346,5.999450684,0.404095952,4.629946625,236.2384458,0.233154297,0.363555297,26.67765953,1.916714964,0.554892474,0.272849687,21.98571884,23.96282959,253.986366,3.640075684,0.081222212,0.283629857,0.647644043,0.199498669,22.2345291,13.14786535,7.244376214,0.293742112,2.846984863,7.37459077,1392.685813
Unknown3,Whole sample,2,Not infected,0,Not treated,0.471729274,106.1520823,3.737997041,0.368253763,0.538805551,0.321826514,50.01353322,6.769683957,1.417961908,5.421781177,4.394444127,0.329932209,8.861077419,7.496948242,0.41998291,1540.460897,0.233475848,23.69250325,0.899102496,0.304443359,1.045593262,1.042489721,7.284591053,5.999450684,1.820949996,2.903795767,188.3250089,0.233154297,0.469117315,7.20290272,1.486376604,0.265423395,0.116748104,9.692893131,64.50595045,188.5251725,0.101225555,0.042997836,0.131445994,0.647644043,0.158936181,17.27507,22.87595414,3.208715309,1.870849609,2.846984863,7.650586221,594.0190339
Unknown4,Whole sample,2,Not infected,0,Not treated,2.328505276,275.065787,12.61562792,3.119349861,3.027006232,10.6575196,132.8250045,490.2253385,4.892147273,78.33083554,26.3296476,5.321643318,24.42207719,7.496948242,0.558900021,2889.098359,3.535966144,57.68905263,1.453635393,0.077907105,0.151812114,1.839768278,18.11827068,5.999450684,6.630674852,30.57215674,735.5086062,0.066991359,0.867030145,82.92403456,29.98561855,2.59267899,0.37922205,91.76825294,129.7052606,725.1249032,2.333848528,0.062015108,2.135711526,2.338542705,1.809774125,54.024884,15.05068256,7.244376214,0.000159573,1.134320363,19.11611669,7947.633714
Unknown2,Whole sample,2,Not infected,0,Not treated,0.471729274,54.86509207,3.666609838,0.459223688,1.63873291,0.987378834,41.12417148,2.807917536,1.631802929,6.768519446,4.394444127,4.429579883,6.837339674,7.496948242,0.41998291,638.7430342,0.233475848,20.06486257,0.675420907,0.304443359,1.045593262,1.042489721,7.103639467,5.999450684,2.228847551,3.383047109,144.8589749,0.233154297,0.253823648,20.10607197,1.629566207,0.456574093,1.092346191,19.6506992,81.87758903,188.5251725,0.248689916,0.042997836,0.207773118,0.647644043,0.199498669,19.03416808,30.37991423,6.113571176,1.870849609,2.846984863,6.542383337,1166.505444
