Sample,Sample type,Condition,Treatment,Timepoint,IL-2Ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12 (p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCGF-b
P1 A1,Macrophages,not infected,siRNA control,24h,0.802527484,51.10617242,115.3012849,0.970042392,4.562954522,51.78704318,42.34812189,784.7323033,3.540092782,11.62446516,7.682491467,6.92504377,5.901493182,14.89824697,0.349251987,66.45852403,12.1045708,1.724632297,0.250554464,0.249355378,0.99,0.809655415,5.811096336,42.58448208,2.776001268,10.86716837,7830.091056,0.05017777,1.155644109,585.6436499,829.6694996,2.414361589,2.430101239,142.7259639,232.5390218,590.7019114,2.4507905,0.101435274,0.656704567,3.589609856,0.564149915,3.405059757,26.55668876,13.48571773,0.516594936,0.948929133,6.743536441,284.9849766
P1 B1,Macrophages,not infected,siRNA control,24h,2.094846409,74.3901976,147.0643213,12.58824261,4.562954522,54.05658462,56.14938442,512.7082574,4.966701293,9.077180256,2.998990914,14.17862154,7.913115587,13.43739588,0.546993181,60.92626364,18.85962524,7.495958602,0.250554464,0.71789807,0.061257876,0.934468052,10.85498511,101.8874679,2.037700726,16.66563621,12522.11423,0.2,1.543439277,851.8271033,990.5863034,6.418582511,1.711254784,321.4933297,290.9419692,438.4434808,6.453712709,0.164004997,3.267892776,3.294849427,0.564149915,5.314540088,30.85785007,3.954292715,0.72674902,1.792360671,9.709447203,172.3400074
P1 C1,Macrophages,not infected,siRNA control,24h,2.411531859,60.11245435,130.4365139,1.291091689,4.562954522,44.87902432,53.05694185,585.3090307,3.926715501,10.49227882,16.71230191,12.96017744,5.901493182,15.38875568,0.498364574,59.83472817,19.70198981,2.28973824,0.586179451,0.882245634,0.99,0.809655415,10.85498511,115.4204688,2.20720399,5.274759698,7614.806918,0.194668178,1.022837241,555.3845868,850.3849755,4.675649033,2.908539935,259.5539231,24,570.1984026,4.816377504,0.227603409,2.548882198,4.037112208,0.60823029,10.62902487,24.32365623,11.50084591,0.621332705,1.792360671,9.115042257,202.0261639
P1 A1.1,Macrophages,not infected,siRNA control,24h,1.049215542,47.48258769,112.5688452,0.711505206,4.562954522,53.6020215,36.69951484,782.1861066,3.344776374,10.91683588,5.364092082,9.32599018,4.721627394,17.36742897,0.349251987,63.78743645,13.79638364,1.953907411,1.7,0.372853851,0.99,0.62209237,5.326456264,57.36319901,2.094138142,12.78154787,7974.092565,0.122658973,1.286526214,557.6088264,730.8894119,2.411363514,2.310413502,145.6272694,24,583.3725646,2.706761882,0.055524695,1.437499094,3.589609856,0.433899525,5.314540088,19.64666733,13.48571773,0.83276589,0.948929133,6.152367863,162.6400147
P1 B1.1,Macrophages,not infected,siRNA control,24h,2.174191369,74.3901976,147.2251311,13.18052201,4.129327603,47.27281376,60.201842,500.1450012,5.245315152,9.077180256,9.970071937,14.78899705,7.913115587,11.99361756,0.498364574,57.66637548,17.17368951,8.039076052,0.586179451,1.356992494,0.315521665,0.747193273,10.85498511,107.2987647,1.644583473,9.918049312,12741.71638,0.2,1.543439277,724.3015506,1363.080096,6.701077863,1.230585036,346.4899585,232.5390218,428.4269328,5.357687555,0.164004997,2.910078053,4.187631313,0.520386413,5.314540088,32.93864005,18.26241325,0.83276589,2.3041231,7.928002804,192.0364166
P1 C1.1,Macrophages,not infected,siRNA control,24h,1.455045862,49.2960025,126.0531352,1.090097559,4.129327603,45.77555626,47.78734676,562.8814153,3.344776374,10.49227882,12.23469209,14.17862154,5.019284378,29.17268168,0.424482058,58.53137082,18.01686483,2.617533394,0.747902387,0.71789807,0.99,0.684677552,9.621545749,96.47885894,2.434059251,8.974896418,7526.57777,0.122658973,1.286526214,555.9772035,501.3881359,4.678002576,2.669375093,221.9879656,24,583.3725646,5.357687555,0.164004997,2.548882198,4.187631313,0.348987838,7.137551277,22,11.50084591,1.261815334,1.116457319,7.631633732,284.9849766
P1 A2,Macrophages,not infected,siRNA NRP1,24h,7.945347155,2311.590941,238.5350408,1.311249334,8.280700062,83.00658853,145.8667895,994.2573227,15.48353139,10.49227882,21.13781319,35.23631036,40.53628367,33.95355443,1.014459474,61.36425965,40.249065,125.1287197,1.904264106,2.112491607,0.911792234,2.246282875,24.84486745,282.7879232,2.320514658,22.60313993,23780,0.158706146,3.574247009,628.2506055,520.2510677,16.55097959,1.230585036,716.987324,596.1014401,225.7322129,14.48753485,0.554518214,7.737877515,6.834546568,1.203753978,25.19299346,42.80961101,13.48571773,1.046375705,5.256779297,54.07071173,232.5264845
P1 B2,Macrophages,not infected,siRNA NRP1,24h,3.508054529,1326.245555,162.2987359,1.696077245,6.250242479,57.55233447,146.6787315,734.8261377,6.881389016,16.72107837,12.23469209,19.08067354,18.87521835,23.9596588,0.498364574,102.6470982,24.74874912,53.76327852,0.586179451,1.561876979,0.061257876,1.152714446,15.91848093,101.8874679,1.310733991,14.71511034,23780,0.122658973,2.042090612,508.2134367,375.7234146,6.091576241,1.230585036,311.892295,373.0035838,275.0859407,7.007792606,0.324367682,4.208730217,5.569654143,0.520386413,16.45009839,22.0242919,16.37915194,1.153883439,2.991580478,26.52965964,212.1062351
P1 C2,Macrophages,not infected,siRNA NRP1,24h,11.25672563,2719.989559,313.4008861,13.31753752,9.663707673,119.160326,194.0327574,1284.596788,30.5826043,12.19060256,28.79118609,54.15948759,46.85600513,28.64646412,1.977827501,66.01132832,59.43380687,138.9706627,2.865045172,3.367563928,1.79805684,2.466015946,28.50793484,377.1688718,3.177186033,33.74905512,23780,0.05017777,4.805147995,962.9337047,1099.898054,20.85045105,0.989518964,947.528599,650.2774899,279.2316416,19.28129089,0.788893518,11.59678126,9.283018612,1.682755712,29.83465098,60.75681227,13.48571773,1.5879072,7.558380813,68.34364257,499.4187215
P1 A2.1,Macrophages,not infected,siRNA NRP1,24h,7.945347155,2273.272573,223.6000235,1.614784156,7.880252152,71.40928191,153.1427394,965.9022124,15.48353139,11.62446516,21.13781319,36.48984741,40.80453628,20.38136722,1.10497829,59.39949156,39.83108839,124.995686,1.979157628,2.260117253,0.710833656,2.309021694,23.86672369,248.6650228,3.062330438,22.60313993,23780,0.05017777,3.914646475,602.1241379,539.7300124,16.65714363,1.230585036,712.164625,564.1587176,227.0927391,13.89715319,0.324367682,8.517743219,7.478277873,1.250960458,28.29512168,44.69689581,11.50084591,1.261815334,6.315101632,55.92528176,242.8616761
